EMPLOYER_NAME,target,value,source,pay
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,186862
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,126547
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,121470
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,163483
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,183066
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,140000
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,140000
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,125000
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,139754
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,109762
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,131250
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,100000
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,168000
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,140000
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,140000
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,130000
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,128673
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,78208
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,130000
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,150000
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,125464
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,127901
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,154336
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,127275
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,125464
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,135000
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,121000
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,85323
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,140000
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,152663
